season,league,date,team1,team2,prob1,prob1_outcome,probtie,probtie_outcome,prob2,prob2_outcome
2014,FIFA World Cup,2014-06-25,Honduras,Switzerland,0.211078113102488,0,0.274360667626921,0,0.514561219270591,1
2014,FIFA World Cup,2014-06-25,Bosnia and Herzegovina,Iran,0.507766636206086,1,0.281813637698091,0,0.210419726095823,0
2014,FIFA World Cup,2014-06-25,Nigeria,Argentina,0.111073175618812,0,0.208211050865808,0,0.68071577351538,1
2014,FIFA World Cup,2014-06-24,Greece,Ivory Coast,0.224316041029089,1,0.285807970761599,0,0.489875988209312,0
2014,FIFA World Cup,2014-06-24,Japan,Colombia,0.127216488383257,0,0.218162130189284,0,0.654621381427459,1
2014,FIFA World Cup,2014-06-24,Costa Rica,England,0.287072337603869,0,0.295160823390842,1,0.417766839005289,0
2014,FIFA World Cup,2014-06-24,Italy,Uruguay,0.299649355605692,0,0.288063549898818,0,0.41228709449549,1
2014,FIFA World Cup,2014-06-23,Croatia,Mexico,0.389917650151022,0,0.30120123619384,0,0.308881113655138,1
2014,FIFA World Cup,2014-06-23,Cameroon,Brazil,0.018831572215601,0,0.079784377192072,0,0.901384050592327,1
2014,FIFA World Cup,2014-06-23,Netherlands,Chile,0.328501317937673,1,0.269725294922929,0,0.401773387139398,0
2014,FIFA World Cup,2014-06-23,Australia,Spain,0.116653175523737,0,0.211027767316486,0,0.672319057159777,1
2014,FIFA World Cup,2014-06-22,USA,Portugal,0.349736572798017,0,0.290235420545226,1,0.360028006656758,0
2014,FIFA World Cup,2014-06-22,South Korea,Algeria,0.445455000092,0,0.301791554024274,0,0.252753445883726,1
2014,FIFA World Cup,2014-06-22,Belgium,Russia,0.435048251292557,1,0.292029543335791,0,0.272922205371652,0
2014,FIFA World Cup,2014-06-21,Nigeria,Bosnia and Herzegovina,0.245303390905867,1,0.282627495581264,0,0.472069113512869,0
2014,FIFA World Cup,2014-06-21,Germany,Ghana,0.70588307239521,0,0.189873767701406,1,0.104243159903384,0
2014,FIFA World Cup,2014-06-21,Argentina,Iran,0.766211639468803,1,0.166138920246239,0,0.067649440284958,0
2014,FIFA World Cup,2014-06-20,Honduras,Ecuador,0.188425607678961,0,0.268620520793667,0,0.542953871527373,1
2014,FIFA World Cup,2014-06-20,Switzerland,France,0.211605992792389,0,0.260220530182303,0,0.528173477025308,1
2014,FIFA World Cup,2014-06-20,Italy,Costa Rica,0.402204038558564,0,0.297957438824993,0,0.299838522616443,1
2014,FIFA World Cup,2014-06-19,Japan,Greece,0.335800727132593,0,0.303726144021059,1,0.360473128846348,0
2014,FIFA World Cup,2014-06-19,Uruguay,England,0.33856091446822,1,0.288020842021558,0,0.373418243510223,0
2014,FIFA World Cup,2014-06-19,Colombia,Ivory Coast,0.542428280848659,1,0.256502746426989,0,0.201068972724352,0
2014,FIFA World Cup,2014-06-18,Cameroon,Croatia,0.259355923381635,0,0.298383138139686,0,0.442260938478679,1
2014,FIFA World Cup,2014-06-18,Spain,Chile,0.352819344629056,0,0.273886156633566,0,0.373294498737378,1
2014,FIFA World Cup,2014-06-18,Australia,Netherlands,0.084835654901247,0,0.178982403464447,0,0.736181941634305,1
2014,FIFA World Cup,2014-06-17,Russia,South Korea,0.452251196665578,0,0.294520450297415,1,0.253228353037007,0
2014,FIFA World Cup,2014-06-17,Brazil,Mexico,0.855437276884696,0,0.109574542859452,1,0.034988180255852,0
2014,FIFA World Cup,2014-06-17,Belgium,Algeria,0.647487237606454,1,0.230961236840218,0,0.121551525553327,0
2014,FIFA World Cup,2014-06-16,Ghana,USA,0.345392598268309,0,0.294219730337873,0,0.360387671393818,1
2014,FIFA World Cup,2014-06-16,Iran,Nigeria,0.276070418882648,0,0.306082017963827,1,0.417847563153525,0
2014,FIFA World Cup,2014-06-16,Germany,Portugal,0.602670516630562,1,0.229373690194585,0,0.167955793174853,0
2014,FIFA World Cup,2014-06-15,Argentina,Bosnia and Herzegovina,0.622035863742093,1,0.224415415317236,0,0.153548720940671,0
2014,FIFA World Cup,2014-06-15,France,Honduras,0.664159687670779,1,0.216614406999723,0,0.119225905329497,0
2014,FIFA World Cup,2014-06-15,Switzerland,Ecuador,0.305656478130683,1,0.291564704815594,0,0.402778817053724,0
2014,FIFA World Cup,2014-06-14,Ivory Coast,Japan,0.468012755416563,1,0.275276010812391,0,0.256711233771046,0
2014,FIFA World Cup,2014-06-14,England,Italy,0.433637235643034,0,0.285681319617444,0,0.280681444739522,1
2014,FIFA World Cup,2014-06-14,Uruguay,Costa Rica,0.533006501197553,0,0.272005458307942,0,0.194988040494506,1
2014,FIFA World Cup,2014-06-14,Colombia,Greece,0.539784407724204,1,0.271151109167433,0,0.189064483108362,0
2014,FIFA World Cup,2014-06-13,Chile,Australia,0.720414990020322,1,0.187712245279459,0,0.091872764700218,0
2014,FIFA World Cup,2014-06-13,Spain,Netherlands,0.532741946296502,0,0.254828165431432,0,0.212429888272066,1
2014,FIFA World Cup,2014-06-13,Mexico,Cameroon,0.425170317812605,1,0.304035652535243,0,0.270794029652152,0
2014,FIFA World Cup,2014-06-12,Brazil,Croatia,0.876378982898844,1,0.095593043912902,0,0.028027973188254,0
2014,FIFA World Cup,2014-06-28,Brazil,Chile,0.823673601146162,1,0,0,0.176326398853838,0
2014,FIFA World Cup,2014-06-28,Colombia,Uruguay,0.690359106034079,1,0,0,0.309640893965921,0
2014,FIFA World Cup,2014-06-30,France,Nigeria,0.75746452914177,1,0,0,0.24253547085823,0
2014,FIFA World Cup,2014-06-30,Germany,Algeria,0.825494266941075,1,0,0,0.174505733058925,0
2014,FIFA World Cup,2014-06-29,Netherlands,Mexico,0.721274286245097,1,0,0,0.278725713754903,0
2014,FIFA World Cup,2014-06-29,Costa Rica,Greece,0.56960680542292,1,0,0,0.43039319457708,0
2014,FIFA World Cup,2014-07-01,Argentina,Switzerland,0.771628807199993,1,0,0,0.228371192800007,0
2014,FIFA World Cup,2014-07-01,Belgium,USA,0.591695145213139,1,0,0,0.408304854786861,0
2014,FIFA World Cup,2014-07-04,Brazil,Colombia,0.716315718039425,1,0,0,0.283684281960575,0
2014,FIFA World Cup,2014-07-04,France,Germany,0.474975077425357,0,0,0,0.525024922574643,1
2014,FIFA World Cup,2014-07-05,Netherlands,Costa Rica,0.763080379103607,1,0,0,0.236919620896393,0
2014,FIFA World Cup,2014-07-05,Argentina,Belgium,0.699678592179709,1,0,0,0.300321407820291,0
2014,FIFA World Cup,2014-07-08,Brazil,Germany,0.732384398210544,0,0,0,0.267615601789456,1
2014,FIFA World Cup,2014-07-09,Netherlands,Argentina,0.431794557547931,0,0,0,0.568205442452069,1
2014,FIFA World Cup,2014-07-13,Germany,Argentina,0.621342339990096,1,0,0,0.378657660009904,0
