year,office,state,district,special,election_date,forecast_date,forecast_type,party,candidate,projected_voteshare,actual_voteshare,probwin,probwin_outcome
2018,Senate,MO,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.5282,1
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.0073,0
2018,Senate,MS,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.9927,1
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.2738,0
2018,Senate,MS,,true,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.7262,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.7593,1
2018,Senate,MT,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.24070000000000003,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.2333,0
2018,Senate,ND,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.7666999999999999,1
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.0105,0
2018,Senate,NE,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.9895,1
2018,Senate,NJ,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.9379,1
2018,Senate,NJ,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.062100000000000044,0
2018,Senate,NM,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.9955,1
2018,Senate,NM,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.0044999999999999485,0
2018,Senate,NV,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.6389,1
2018,Senate,NV,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.3611,0
2018,Senate,NY,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.9998,1
2018,Senate,NY,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.00019999999999997797,0
2018,Senate,OH,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.982,1
2018,Senate,OH,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.018000000000000016,0
2018,Senate,PA,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.9871,1
2018,Senate,PA,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.012900000000000023,0
2018,Senate,RI,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.9995,1
2018,Senate,RI,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,R,,,,0.0004999999999999449,0
2018,Senate,TN,,false,2018-11-06,2018-11-06 16:54:38 -0500,live,D,,,,0.2049,0
