season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-07-31,Sun,Sky,0.6008060536751332,0,0.3991939463248668,1
2022,2022-07-30,Dream,Wings,0.589947370862146,0,0.410052629137854,1
2022,2022-07-30,Mystics,Storm,0.6403876245577151,0,0.35961237544228486,1
2022,2022-07-29,Sky,Liberty,0.8536568543409141,1,0.1463431456590859,0
2022,2022-07-29,Fever,Aces,0.1669709823153783,0,0.8330290176846217,1
2022,2022-07-28,Mercury,Sparks,0.6822374126933812,1,0.31776258730661877,0
2022,2022-07-28,Wings,Mystics,0.4764008806634701,0,0.5235991193365299,1
2022,2022-07-28,Dream,Lynx,0.577493602049719,0,0.422506397950281,1
2022,2022-07-28,Sun,Storm,0.694625836747424,1,0.30537416325257605,0
2022,2022-07-26,Sky,Aces,0.7112397604514049,0,0.2887602395485951,1
2022,2022-07-24,Lynx,Sun,0.42987698330867297,0,0.570123016691327,1
2022,2022-07-24,Storm,Dream,0.7359352428152844,1,0.26406475718471556,0
2022,2022-07-24,Fever,Wings,0.33184023317428046,0,0.6681597668257195,1
2022,2022-07-23,Aces,Sparks,0.7880314063265765,1,0.21196859367342347,0
2022,2022-07-23,Liberty,Sky,0.2421630796957814,1,0.7578369203042186,0
2022,2022-07-22,Mercury,Storm,0.42917308698657664,1,0.5708269130134234,0
2022,2022-07-22,Lynx,Sun,0.4679008987381527,0,0.5320991012618472,1
2022,2022-07-22,Sky,Wings,0.8417548680264522,1,0.15824513197354784,0
2022,2022-07-21,Aces,Fever,0.9063244388870317,1,0.09367556111296826,0
2022,2022-07-21,Sparks,Dream,0.5418008278676529,1,0.45819917213234707,0
2022,2022-07-21,Mystics,Liberty,0.7975860871394703,1,0.20241391286052968,0
2022,2022-07-20,Sky,Storm,0.719498898282606,1,0.28050110171739395,0
2022,2022-07-19,Sparks,Fever,0.7895319339867771,1,0.21046806601322288,0
2022,2022-07-19,Aces,Dream,0.8237508127663828,0,0.17624918723361716,1
2022,2022-07-19,Sun,Liberty,0.8243062140436569,1,0.1756937859563431,0
2022,2022-07-17,Mercury,Dream,0.7021169048281842,0,0.29788309517181577,1
2022,2022-07-17,Storm,Fever,0.9064111819591433,1,0.09358881804085672,0
2022,2022-07-17,Mystics,Lynx,0.6637471020118737,1,0.3362528979881263,0
2022,2022-07-17,Sun,Aces,0.634513760979144,0,0.365486239020856,1
2022,2022-07-16,Wings,Sky,0.3471427709912765,0,0.6528572290087236,1
2022,2022-07-15,Dream,Sun,0.3700913616606895,0,0.6299086383393104,1
2022,2022-07-15,Fever,Lynx,0.2983706294923104,0,0.7016293705076896,1
2022,2022-07-14,Sparks,Sky,0.29840369225349467,0,0.7015963077465053,1
2022,2022-07-14,Mercury,Mystics,0.47607409100009757,1,0.5239259089999024,0
2022,2022-07-14,Lynx,Wings,0.6964647613655711,0,0.3035352386344289,1
2022,2022-07-14,Liberty,Aces,0.4196991030763449,0,0.5803008969236552,1
2022,2022-07-13,Fever,Sun,0.2085269823340993,0,0.7914730176659007,1
2022,2022-07-12,Sparks,Mystics,0.4626934765827294,0,0.5373065234172706,1
2022,2022-07-12,Sky,Dream,0.8481482386494916,1,0.15185176135050837,0
2022,2022-07-12,Lynx,Mercury,0.6619544408802893,1,0.3380455591197107,0
2022,2022-07-12,Liberty,Aces,0.44620306476501115,0,0.5537969352349889,1
